fen,result
rnbq1rk1/pp4b1/2pp1npp/2P2p2/1P2p3/2NP1NP1/PB2PPBP/R2Q1RK1 w - - 0 11,0.0
r1bq1rk1/pp3pp1/2nbpn1p/8/2Pp4/1P1P1NP1/P4PBP/RNBQR1K1 w - - 1 11,0.5
r2r2k1/pp2ppbp/nqp2np1/3p1b2/2P5/PP1P1NP1/1BQ1PPBP/RN3RK1 w - - 1 11,1.0
3rkb1r/ppq1pppp/2n1b3/2Pp4/3Pn3/2N2B2/PP1B1PPP/R2QK1NR w KQk - 3 11,0.0
r1bqk2r/pp4pp/2nbpn2/3p4/3P4/3B4/PP1NNPPP/R1BQ1RK1 w kq - 2 11,1.0
r2k3r/pp1b1ppp/2np1n2/8/2B1p3/2N5/PPP2PPP/2KR2NR w - - 0 11,1.0
r2q1rk1/1bpnbppp/p1np4/1p2p3/P3P3/1B1P1N2/1PPN1PPP/R1BQR1K1 w - - 2 11,1.0
r1b2rk1/pp1n1ppp/5n2/q2p4/1b1P1B2/2N5/PPQN1PPP/R3KB1R w KQ - 1 11,1.0
rnbr2k1/pp2ppbp/6p1/q1pP4/4P3/2P1B3/P2Q1PPP/2R1KBNR w K - 3 11,1.0
r1b1k2r/1p2bppp/pq1ppn2/2n3B1/3NP3/1BN5/PPPQ1PPP/2KR3R w kq - 4 11,0.0
r1bqkb1r/3n1pp1/p2p1n2/4p2p/Pp2P3/2N3PP/1PP1NPB1/R1BQK2R w KQkq - 0 11,1.0
r2qkb1r/pp1b1ppp/3p2n1/1N1Pp3/Q1P5/8/PP3PPP/R1B1KB1R w KQkq - 3 11,0.5
r1b1kb1r/pp1n1ppp/2n1p3/3pP3/3N1P2/q1N1B3/P1PQ2PP/1R2KB1R w Kkq - 2 11,0.5
r1b2rk1/1p1nqpp1/p1pbpn1p/3p4/2PP4/1PNBPN2/PBQ2PPP/R4RK1 w - - 2 11,0.5
1r1qk2r/1bQn1ppp/p3pn2/1p6/1b1P1B2/5NP1/PP2PPBP/RN2K2R w KQk - 1 11,0.5
r2q1rk1/1bp1bppp/p2p1n2/np2p3/P3P3/1B1P1N2/1PPN1PPP/R1BQR1K1 w - - 2 11,0.5
r2q1rk1/1b1nppbp/pp1p1np1/2p5/P1BP1B2/2P1PN1P/1P1N1PP1/R2Q1RK1 w - - 0 11,0.0
rnbq1rk1/p4pp1/1p2pn1p/6B1/1bBP4/2N2N2/PP3PPP/R2Q1RK1 w - - 0 11,1.0
r3k1nr/pp1n1pp1/1b2p3/1B1pPb1p/5P2/2P2N2/PP4PP/RNB1K2R w KQkq - 2 11,0.5
r3kb1r/pp4pp/2npbpq1/2p1p3/4P2P/2NPBP2/PPP3P1/R2QKB1R w KQkq - 0 11,0.0
r1bq1rk1/pp2bppp/5n2/2p1N3/3PpB2/2N2Q2/PPP2PPP/R4RK1 w - - 0 11,0.0
r2qk2r/pp1npp1p/2p1b1p1/3nN3/Q2P4/2N5/PP2PPPP/R3KB1R w KQkq - 1 11,0.5
2rqkb1r/pp2pp1p/2n3p1/1B1pPn2/3P4/5b1P/PP1N1PP1/R1BQ1RK1 w k - 0 11,1.0
rnb1k2r/1p1p1ppp/1qp2n2/8/1bP1p3/1QNP2P1/Pp1NPPBP/R1B1K2R w KQkq - 0 11,0.5
r1bqkb1r/1pp1nn2/p2p1pp1/3Pp2p/4P2P/2N1BP2/PPPQN1P1/R3KB1R w KQkq - 1 11,1.0
rnb2rk1/1p2qppp/2p2n2/p3N3/4pP2/PB1P4/1PPQ2PP/RN2K2R w KQ - 0 11,0.5
