fen,result
r2qkb1r/pp3ppp/2n2n2/2p1p3/3pP3/3P1QPP/PPP2PB1/RNB2RK1 w kq - 2 11,0.0
r1b2rk1/ppqn1ppp/4pn2/2p5/3P4/P1P1PN2/4BPPP/R1BQK2R w KQ - 4 11,1.0
r1bq1rk1/ppp2ppp/2np1n2/8/2P1P3/4NP2/PP4PP/RN1QKB1R w KQ - 0 11,1.0
r1bqk2r/4bppp/p1p2n2/3p4/8/2PB4/PP3PPP/RNBQR1K1 w kq - 0 11,1.0
r3k2r/2pqbppp/p1n1b3/1p1pP3/4n3/1BP1BN2/PP3PPP/RN1Q1RK1 w kq - 3 11,1.0
r3kb1r/1bpnqp1p/pp1pp1p1/8/P1NPn3/4PNB1/1PP1BPPP/R2Q1RK1 w kq - 4 11,0.0
r2q1rk1/p1pnbppp/1pb1pn2/8/P2P4/3B1N2/1PPN1PPP/R1BQR1K1 w - - 1 11,1.0
rn1qk2r/1bp1bp1p/p3p3/1p3p2/3P4/2N2NP1/PPP2PBP/R2QK2R w KQkq - 2 11,0.5
r1bq1rk1/3nbppp/p4n2/1ppp4/3P4/1PN1PNP1/PB3PBP/R2QK2R w KQ - 0 11,1.0
r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P2B/2N5/PP1NBPPP/R2QK2R w KQ - 2 11,1.0
r2q1rk1/ppp2ppp/2n1p3/3n4/3P4/PQb1PP2/1P1B1P1P/R3KB1R w KQ - 0 11,1.0
r1bqr1k1/pp1nbpp1/2pp1n1p/8/P1BpP3/2N1BN1P/1PP2PP1/R2QR1K1 w - - 0 11,0.5
r1b1kb1r/1pq2pp1/p1p2n2/4p2p/4P3/2N3Q1/PPP1BPPP/R1B2RK1 w kq - 0 11,1.0
r1b1kb1r/1p1q1ppp/p1n1p3/1B1n4/3N4/2P1BN2/PP3PPP/R2QK2R w KQkq - 0 11,0.0
r1b1k2r/ppp2p1p/5p2/4p3/1b6/1PNP1q2/1PP2PPP/R3K1NR w KQkq - 0 11,1.0
r3kb1r/1p2nppp/p7/2pp1b2/1n6/1PN2NP1/PBPP1P1P/2KR1B1R w kq - 4 11,1.0
r2q1rk1/ppp2ppp/5n2/3Pp3/1b6/2N2QPP/PPPP1P2/R1B2RK1 w - - 3 11,0.5
r3k2r/ppqb1ppp/2nbpn2/3p4/3P4/1QPB1N1P/PP3PP1/RNB1R1K1 w kq - 2 11,0.0
r1bq1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N5/1P1NBPPP/R1BQK2R w KQ - 3 11,0.5
r1bq1rk1/ppn2pbp/3p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 5 11,0.0
rnbqr1k1/pp3p1p/3p1npb/2pP4/2P5/2NBBN1P/PP3PP1/R2QK2R w KQ - 3 11,0.5
rn2kb1r/1bqn1ppp/p2pp3/1p4P1/3NPP2/P1N2Q2/1PP4P/R1B1KB1R w KQkq - 1 11,0.5
r1bq1rk1/pp3ppp/2n2b2/2pp4/3Pn3/1PN2NP1/PB2PPBP/R2Q1RK1 w - - 5 11,1.0
r1bq1rk1/pp2nppp/2nb4/1B1p4/8/2P1BN2/PP3PPP/RN1QR1K1 w - - 2 11,1.0
r2qkb1r/1b1n1ppp/p3pn2/2p5/Pp1P4/1Q3NP1/1P2PPBP/RNB2RK1 w kq - 0 11,0.5
rnbqrbk1/pp3pp1/2p2n1p/3p4/3P4/2NBP1BP/PP3PP1/R2QK1NR w KQ - 1 11,0.0
rnbq1rk1/pp2bppp/2p1p3/8/3PNP2/4n3/PPPQ2PP/2KR1BNR w - - 0 11,1.0
rn1qkb1r/1b3ppp/pn1pp3/1p4P1/3NP3/P1N1BP2/1PP4P/R2QKB1R w KQkq - 3 11,0.5
r2q1rk1/pp2bppp/2npbn2/2p1p3/P3P3/N1PP1N2/BP3PPP/R1BQR1K1 w - - 3 11,1.0
r1b1k2r/pp1n1ppp/8/q1pp4/3PnB2/PQb1PN2/1P3PPP/2R1KB1R w Kkq - 0 11,0.0
r2q1rk1/pbpnppbp/3p1np1/8/2PP1B2/2NB1N2/PP3PPP/R2QR1K1 w - - 2 11,0.5
r2qkbnr/3n1ppp/2p1p1b1/1p1pP3/3P4/1QP1BN2/P3BPPP/RN3RK1 w kq - 0 11,0.5
r1b1r1k1/1pqnbppp/2pp1n2/p3p3/P2PP3/2NBBN1P/1PP2PP1/R2QR1K1 w - - 2 11,0.0
r2q1rk1/ppp2pbp/2npb1p1/3N1n2/2PN4/4B1P1/PP2PPBP/R2Q1RK1 w - - 5 11,1.0
