fen,score_cp
"1Q6/8/3pkp2/Pp1bp3/8/2q5/5PPP/4R1K1 w - - 5 31",341
"1Q6/7p/4k1p1/2p5/Pn1p3P/KP6/8/5r2 w - - 4 65",43
"1Q6/8/3pkp2/Pp2p3/8/1bq5/5PPP/3R2K1 w - - 7 32",426
"1Q6/8/4k3/3p4/2r5/3K4/8/8 w - - 19 90",214
"1Q6/p5pk/1pp3qp/3bB3/2p5/P4P1P/1PP3PK/8 b - - 9 35",14
"1Q6/p5pk/1pp4p/3bBq2/2p5/P4P1P/1PP3PK/8 w - - 10 36",56
"1Q6/p5pk/2p4p/1p1b1q2/2pB4/P4P1P/1PP3PK/8 w - - 0 37",44
"1Qqk3r/5pp1/p6p/1p1p4/1P2pP2/4P3/P2PB3/3KR3 w - - 1 32",472
"1R1r4/p4kp1/1b3p1p/1pn4P/8/P1B2P2/1PB2P2/5K2 w - - 1 45",21
"1R2b3/2r1k3/1p2p3/pP1pP3/P6p/3BP3/6P1/6K1 w - - 3 34",86
"1R1r4/p4Qbk/2p3p1/2B1q1Pp/2B1p2P/2n5/PP6/2K2R2 b - - 0 28",250
"1R2b3/4k3/1P2p3/p2pP3/P6p/4P3/6P1/r4BK1 w - - 1 41",249
"1R2b3/4k3/4p3/pP1pP3/P6p/r3P3/6P1/5BK1 w - - 7 38",109
"1R2b3/4k3/4p3/pP1pP3/P6p/r3P3/6P1/5BK1 w - - 11 40",104
"1R2b3/p4pk1/2p1p3/2Pp4/3P1N2/r1P3P1/7P/6K1 b - - 3 40",508
"1R2b3/p4pk1/2p5/2Ppr2P/5NP1/8/5K2/8 w - - 1 47",61
"1R2bk2/p4p2/2p1p3/2Pp4/3P1N1P/2r3P1/6K1/8 b - - 1 42",208
"1R2bk2/p4p2/2p1p3/2Pp4/3P1N1P/4r1P1/6K1/8 w - - 2 43",125
"1R2bk2/p4p2/2p1p3/2Pp4/3P1N1P/2r3P1/8/6K1 w - - 0 42",118
"1R2bk2/p4p2/2p1p3/2Pp4/3PrN1P/6P1/5K2/8 w - - 4 44",149
"1R2bk2/p4p2/2p1p3/2Pp4/3P1N2/r1P3P1/7P/6K1 w - - 4 41",101
"1R2bk2/p4p2/2p1p3/2Pp4/3P1N1P/r1P3P1/8/6K1 b - - 0 41",573
"1R2bk2/p4p2/2p5/2Ppp2P/3PrN2/6P1/5K2/8 w - - 0 45",63
"1R2bk2/p4p2/2p5/2Ppr2P/5N2/6P1/5K2/8 w - - 0 46",58
"1R2r1k1/5pp1/1p6/p4b1p/Pb3B2/1P3P2/6PP/4NK2 b - - 6 34",75
