fen,score_cp
"6k1/7p/4r1p1/2R1p3/8/6P1/7P/7K w - - 1 33",10
"6k1/7p/p1q1rpP1/3n4/P2P2N1/2p2QP1/5P2/2R3K1 b - - 0 37",20
"6k1/7p/p2qrpp1/3n3P/P2P2N1/2p2Q2/5PP1/2R3K1 w - - 0 36",3
"6k1/7p/p2qrpp1/3n3P/P2P2N1/2p2QP1/5P2/2R3K1 b - - 0 36",16
"6k1/7r/7P/6KR/5P2/8/8/8 w - - 5 67",237
"6k1/8/2p1bBp1/6p1/8/1P3P2/P5PP/7K w - - 0 41",439
"6k1/8/3N4/6pp/4p3/2P5/1Pb2PP1/6K1 w - - 2 47",217
"6k1/8/4K1P1/8/8/8/8/8 b - - 8 78",0
"6k1/8/4K3/4PR2/8/8/8/r7 w - - 1 53",6
"6k1/8/4K3/4nR2/5P2/8/8/4r3 w - - 0 52",6
"6k1/8/5K2/4PR2/8/8/8/r7 b - - 2 53",0
"6k1/8/5PK1/8/8/8/8/8 w - - 5 75",9
"6k1/8/5p2/N3p1pp/b6P/2P5/1P3PP1/6K1 w - - 0 44",218
"6k1/8/6K1/5P2/8/8/8/8 w - - 1 73",657
"6k1/8/6P1/5K2/8/8/8/8 w - - 11 80",11
"6k1/8/6P1/5K2/8/8/8/8 w - - 7 78",4
"6k1/8/6P1/6K1/8/8/8/8 w - - 3 131",30
"6k1/8/6P1/6K1/8/8/8/8 w - - 3 76",30
"6k1/8/6P1/8/6K1/8/8/8 b - - 4 76",0
"6k1/8/8/6pp/b1N1p3/2P5/1P3PP1/6K1 w - - 0 46",288
"6k1/8/8/N3p1pp/b7/2P5/1P3PP1/6K1 w - - 0 45",250
"6k1/8/p1P3p1/3N1p1n/8/1P2KR2/P2R4/2q5 b - - 0 44",45
"6k1/8/p1Q1rpp1/8/P2P4/2p1n1P1/5P2/2R3K1 b - - 0 39",29
"6k1/8/p1q1rpp1/3n4/P2P4/2p1NQP1/5P2/2R3K1 b - - 1 38",12
"6k1/8/p1r2pp1/8/P2P4/2p1P1P1/8/2R3K1 b - - 0 40",3
"6k1/8/p5p1/2PN1p1n/8/1P1K1R2/P2R3q/8 b - - 1 42",3
"6k1/8/p5p1/2PN1p1n/8/1P2KR2/P2R4/7q b - - 3 43",265
"6k1/8/p5p1/2PN1p1n/8/1P3R2/P2RK2P/7q b - - 0 41",49
"6k1/8/p5p1/2PN1p1n/8/1P3R2/P2RK2q/8 w - - 0 42",39
"6k1/8/p5p1/3N1p1n/2P4q/1P1RK3/P4R1P/8 w - - 0 37",38
"6k1/8/p5p1/3N1p1n/2P5/1P3R2/P2RK2P/1q6 b - - 7 40",35
"6k1/8/p5p1/3N1p1n/2P5/1P6/P2RKR1P/1q6 w - - 6 40",43
"6k1/8/p5p1/3N1p1n/2P5/1P6/P2RKR1P/2q5 b - - 5 39",11
"6k1/8/p5p1/3N1p1n/2PR3q/1P2K3/P4R1P/8 b - - 1 37",55
"6k1/8/p5p1/3N1p1n/2PR4/1P6/P3KR1P/2q5 w - - 4 39",34
"6k1/8/p5p1/3N1pqn/2PR4/1P2K3/P4R1P/8 w - - 2 38",55
"6k1/8/p5p1/3N1pqn/2PR4/1P6/P3KR1P/8 b - - 3 38",6
"6k1/8/pr1q2pp/2p5/2Q3n1/8/1P4PP/4R2K b - - 1 40",83
"6k1/8/pr1q2pp/2p5/6n1/2Q5/1P4PP/4R2K w - - 0 40",612
"6k1/8/r4P2/6K1/8/4R3/8/8 b - - 2 79",9
"6k1/8/r4P2/6K1/8/5R2/8/8 w - - 1 79",3
"6k1/B2b1pp1/4r2p/3p4/4n2q/1P1B1Q1P/P4PP1/2R3K1 w - - 1 23",255
"6k1/B2b1pp1/4r2p/8/4p2q/1P2Q2P/P4PP1/2R3K1 b - - 1 24",0
"6k1/B2b1pp1/4r2p/8/4p2q/1P3Q1P/P4PP1/2R3K1 w - - 0 24",85
"6k1/B2b1pp1/6rp/8/4p2q/1P2Q2P/P4PP1/2R3K1 w - - 2 25",75
"6k1/B2b1pp1/r6p/8/4p2q/1P2Q2P/P4PPK/2R5 w - - 4 26",116
"6k1/B4pp1/r3b2p/8/P3p2q/1P2Q2P/5PPK/2R5 w - - 1 27",124
"6k1/P5p1/8/5p1p/4bK1P/2B3P1/8/8 w - - 1 51",70
"6k1/Q1p2p2/3q2pp/2pPp2B/2P1P3/1r5b/6P1/5RK1 w - - 0 33",60
"6k1/Q1p2pp1/3q3p/2pPp2B/2P1P3/1r5b/6P1/5RK1 b - - 1 32",75
"6k1/Q1p2pp1/3q3p/2pPp3/2P1P3/1r5b/4B1P1/5RK1 w - - 0 32",544
"6k1/Q1pb1pp1/3q3p/2pPp3/2P1P3/1r5P/4B1P1/5RK1 b - - 0 31",120
"6k1/Q4p2/6p1/7p/2P1q3/1P4P1/5PKP/8 w - - 1 42",71
"6k1/Q4p2/6p1/7p/2P5/1P3PP1/2q3KP/8 w - - 1 43",45
"6k1/Q5p1/2p4q/1p1b1P2/p1pB2P1/P1P3K1/1P6/8 w - - 13 58",333
"6k1/Q7/1p1q2np/3p2pB/2p5/2P3P1/PPP3PP/6K1 w - - 0 31",268
"6k1/Q7/6p1/1P5p/5P1P/6P1/4qP1K/8 w - - 5 50",471
"6k1/QB1b1ppp/p2qp3/8/3P4/2r5/P4PPP/3R2K1 w - - 0 28",40
"6k1/R4b2/7p/P3Bpp1/4p3/r6P/5PPK/8 w - - 0 36",96
"6k1/R4bp1/3b4/5r2/8/p1N5/4K3/B7 b - - 6 45",408
"6k1/R5b1/P1qp2pp/3pprN1/2rn4/3QB3/R4P1P/6K1 b - - 0 30",226
"6k1/R5p1/3b4/5r2/2b5/p1N5/3K4/B7 b - - 8 46",350
"6k1/R5p1/4pp1p/Np1n4/3P4/PPr3P1/5P1P/6K1 w - - 1 39",87
"6k1/R6p/1p5p/4r3/8/8/PP2pKPP/8 w - - 0 30",128
"6k1/R6p/1p5p/6r1/8/8/PP2p1PP/4K3 w - - 2 31",157
"6k1/R6p/6p1/2r5/2P5/6KP/6P1/8 w - - 0 40",84
"6k1/R7/1ppB2pp/2p5/2Pb4/P1N4P/1P4P1/4rn1K w - - 13 37",116
"6k1/R7/P6p/4Bpp1/2b1p3/r6P/5PPK/8 w - - 1 37",228
"6k1/p1p5/6p1/3rbp2/5Br1/1P4PK/P4R2/2R5 b - - 3 29",84
"6k1/p1q1bp1p/1N4p1/2p4n/8/6P1/PP2QPKP/R1Br4 b - - 1 22",182
"6k1/p1q3bp/P2p2p1/3pprN1/1r1n4/3QB3/R4P1P/2R3K1 b - - 1 27",336
"6k1/p1q3bp/P2p2p1/3pprN1/2rn4/3QB3/R4P1P/1R4K1 b - - 3 28",371
"6k1/p1r1n1pp/2P1p3/4q3/1P3p2/P2Q2P1/5PBP/2R3K1 w - - 1 37",454
"6k1/p1r2p1p/B3b1p1/8/P2RPP2/r7/1R1K2PP/8 w - - 9 32",56
"6k1/p1r3pp/2P1p3/1P2qn2/5p2/P2Q2P1/5PBP/2R3K1 w - - 1 38",466
"6k1/p1r3pp/4p1n1/2P1q3/1P3p2/P2Q2P1/5PBP/2R3K1 w - - 0 36",439
"6k1/p1r5/1p1n1p2/4pPp1/3p2P1/3R1K1P/P1P1R3/8 b - - 9 51",87
"6k1/p1r5/1p3P2/4p1p1/3p2Kp/1Rn5/2P4R/8 b - - 0 57",137
"6k1/p1r5/1p3p2/1n2pPp1/3p2P1/1R3K1P/P1P1R3/8 b - - 11 52",183
"6k1/p1r5/1p3p2/4pPP1/3p3p/1R3K2/n1P4R/8 b - - 0 55",101
"6k1/p1r5/1p3p2/4pPp1/2np2P1/3R1K1P/P1P5/4R3 b - - 7 50",80
"6k1/p1r5/1p3p2/4pPp1/3p2P1/1Rn2K1P/P1P4R/8 b - - 13 53",147
"6k1/p1r5/1p3p2/4pPp1/3p2P1/5K1P/PnPR4/4R3 b - - 5 49",115
"6k1/p1r5/1p3p2/4pPp1/3p2PP/1R3K2/n1P4R/8 b - - 0 54",15
"6k1/p1r5/1p6/4pPp1/3p2Kp/1R6/n1P4R/8 b - - 1 56",119
"6k1/p1rr1pp1/1p2n2p/3pPR1P/3P1B2/PnPR4/1N4P1/6K1 b - - 0 31",71
"6k1/p1rr1pp1/1p2n2p/3pPR1P/3P2q1/PnP2R2/1N1B2P1/5QK1 w - - 6 29",0
"6k1/p1rr1pp1/1p2n2p/3pPR1P/3P2q1/PnPQ1R2/1N1B2P1/6K1 b - - 7 29",135
"6k1/p1rr1pp1/1p2n2p/3pPR1P/3PqB2/PnPQ1R2/1N4P1/6K1 b - - 9 30",101
"6k1/p1rr1pp1/1p2n2p/n2pPR1P/3P2q1/P1P2R2/1N1B2P1/5QK1 b - - 5 28",40
"6k1/p1rr1pp1/1p2n2p/n2pPR1P/3P2q1/P1P5/1N1B1RP1/5QK1 w - - 4 28",18
"6k1/p1rr1pp1/1p5p/3pP2P/3P1R2/P1P1R3/1N4P1/2n3K1 b - - 2 33",63
"6k1/p1rr1pp1/1p5p/3pP2P/3P1R2/P1PR4/1N4P1/2n3K1 w - - 1 33",45
"6k1/p1rr1pp1/1p5p/3pP2P/3P1R2/PnPR4/1N4P1/6K1 b - - 0 32",4
"6k1/p1rr1pp1/1p5p/3pPR1P/3P1n2/PnPR4/1N4P1/6K1 w - - 0 32",1
"6k1/p1rr1pp1/1pn1n2p/1Q1pPR1P/3P2q1/P1P5/1N1B1RP1/6K1 w - - 2 27",16
"6k1/p1rr1pp1/1pn1n2p/3pPR1P/3P2q1/P1P5/1N1B1RP1/5QK1 b - - 3 27",2
"6k1/p2b2p1/2N2p2/4pn1p/8/2P4P/PPB2PP1/6K1 w - - 1 36",306
"6k1/p2brp2/6pp/1p2P3/5P2/1Pr2Q2/Pq4PP/1B2RR1K w - - 3 29",192
"6k1/p2n2p1/3B3p/2p5/3b2P1/3B1KP1/Pr2R2P/8 w - - 3 32",393
"6k1/p2n2p1/B2B3p/2p5/2pb2P1/5KP1/Pr2R2P/8 w - - 2 30",209
"6k1/p2q1p1p/6p1/8/2P5/1P2RQP1/5PKP/3r4 w - - 10 37",279
"6k1/p2q1p1p/6p1/8/2P5/1P2RQP1/5PKP/3r4 w - - 6 35",275
"6k1/p2r1p2/2rPb1pp/1p6/5P2/1P5P/P3R1P1/1B1R3K w - - 3 35",79
"6k1/p2r1pp1/1p2P2p/3p3P/3P1R2/P1r1R3/1N4P1/2n3K1 b - - 0 34",142
"6k1/p2r2p1/1p2R2p/3p3P/3P1R2/P1r5/1N4P1/2n3K1 b - - 0 35",135
"6k1/p2r2p1/1p5R/3p1r1P/3P2R1/P7/4n1PK/3N4 b - - 2 39",202
"6k1/p2r2p1/1p5R/3p1r1P/3P2R1/P7/6P1/2nN2K1 b - - 0 38",352
"6k1/p3bp2/P2r2p1/1pp4p/4P3/2B2K1P/1P3PP1/R7 b - - 2 33",0
"6k1/p3pp1p/6pb/1B6/P2P4/4PQP1/1r1q1P1P/2R3K1 w - - 1 27",149
"6k1/p3pp1p/6pb/qB6/P2P4/4PQP1/1r3P1P/2r2RK1 w - - 0 26",89
"6k1/p3q2p/1p6/2pp2P1/3b1N2/1P3PP1/P1Q3KP/8 w - - 0 32",422
"6k1/p3qp1p/6p1/8/2P5/1P3QP1/5PKP/3r4 w - - 0 38",280
"6k1/p3r2p/1p1q4/2pp2P1/3b1N2/1P3PP1/P1Q3KP/4R3 w - - 1 31",513
"6k1/p4p1p/2Q3p1/4P3/1q3P2/1P5B/Pb1r3P/5R1K b - - 0 31",14
"6k1/p4p1p/2Q3p1/4P3/1q3P2/1P5B/Pb2r2P/5R1K w - - 1 32",16
"6k1/p4p1p/2Q3p1/8/1q2PP2/1P5B/Pb1r3P/5R1K w - - 1 31",24
"6k1/p4p1p/6p1/3QP3/1q3P2/1P5B/Pb2r2P/5R1K b - - 2 32",14
"6k1/p4p1p/6p1/8/2P1q3/1P4P1/5PKP/3Q4 w - - 1 39",294
"6k1/p4p1p/6p1/8/2P5/1P3QP1/2q2PKP/8 w - - 3 40",293
"6k1/p4p1p/6p1/8/2Pq4/1P1r1QP1/5P1P/4R1K1 w - - 2 33",236
"6k1/p4p1p/6p1/8/2Pq4/1P1rRQP1/5P1P/6K1 b - - 3 33",591
"6k1/p4p1p/6p1/8/2Pq4/1P2RQP1/5P1P/3r2K1 w - - 4 34",274
"6k1/p4p1p/6p1/8/2Pq4/1P3QP1/3r1P1P/5RK1 w - - 0 32",157
"6k1/p4p1p/6p1/8/2Pq4/1P3QP1/r2r1P1P/3R1RK1 w - - 2 31",118
"6k1/p4p1p/6p1/8/2Pq4/1P3QP1/r3rP1P/1R3RK1 w - - 0 30",188
"6k1/p4p2/2rRb1Bp/1p6/5P2/1P5P/P3R1P1/7K b - - 0 36",280
"6k1/p4p2/2rrb1Bp/1p6/5P2/1P5P/P3R1P1/3R3K w - - 0 36",99
"6k1/p4p2/3rb1Bp/1p6/5P2/1P5P/P3R1P1/7K w - - 0 37",104
"6k1/p4p2/3rb2p/1p6/4BP2/1P5P/P3R1P1/7K b - - 1 37",586
"6k1/p4p2/6p1/7p/2P5/1P2Q1P1/2q2PKP/8 w - - 0 41",272
"6k1/p4pbp/1p2p1p1/P7/1P6/2p1BPP1/2R2PKP/3r4 b - - 1 28",231
"6k1/p4pbp/4p1p1/P7/8/2p1BPP1/2R2PKP/3r4 b - - 0 29",254
"6k1/p4qp1/1pp4p/3bB3/2p5/P4PQP/1PP3P1/6K1 w - - 0 31",43
"6k1/p4qpp/1pp5/3b4/2p2B2/P4PQP/1PP3P1/6K1 w - - 1 30",82
"6k1/p4qpp/1ppRr3/3b4/2p2B2/P5QP/1PP2PP1/6K1 w - - 1 27",45
"6k1/p4r1p/1p1q4/2pp2P1/3b1N2/1P3PP1/P1Q3KP/3Rr3 w - - 0 30",228
"6k1/p5p1/2N2p2/4p2p/8/2P4P/PP3PP1/1b4K1 w - - 2 39",224
"6k1/p6p/1p6/2ppb1P1/5N2/1P3PP1/P5KP/8 w - - 0 34",434
"6k1/p6p/1p6/2ppqQP1/3b1N2/1P3PP1/P5KP/8 w - - 2 33",395
"6k1/p6r/1p3p2/4pPp1/2Pp2P1/6KP/PnPR4/4R3 b - - 2 46",17
"6k1/p6r/1p3p2/4pPp1/2Pp2P1/7P/PnPR2K1/4R3 w - - 1 46",87
"6k1/p6r/1p3p2/4pPp1/2np2P1/3R2KP/P1P5/4R3 b - - 1 47",2
"6k1/p6r/1p3p2/4pPp1/2np2P1/6KP/P1PR4/4R3 w - - 0 47",30
"6k1/p6r/1p3p2/4pPp1/3p2P1/3R2KP/PnP5/4R3 w - - 2 48",36
"6k1/p6r/1p3p2/4pPp1/3p2P1/6KP/PnPR4/4R3 b - - 3 48",93
"6k1/p6r/1p3p2/4pPp1/n1Pp2P1/7P/P1PR2K1/4R3 b - - 0 45",112
"6k1/p6r/1p3p2/4pPp1/n1Pp2P1/7P/P1PR2b1/4R1K1 w - - 0 45",9
"6k1/p6r/1pb2p2/2n1pPp1/2Pp2P1/3R3P/P1P5/4RBK1 w - - 4 43",58
"6k1/p6r/1pb2p2/2n1pPp1/2Pp2P1/7P/P1PR4/4RBK1 b - - 5 43",21
"6k1/p6r/1pb2p2/4pPp1/2Ppn1P1/3R3P/P1P2K2/4RB2 w - - 2 42",1
"6k1/p6r/1pb2p2/4pPp1/2Ppn1P1/3R3P/P1P5/4RBK1 b - - 3 42",51
"6k1/p6r/1pb2p2/4pPp1/n1Pp2P1/7P/P1PR4/4RBK1 w - - 6 44",31
"6k1/p6r/1pbn1p2/2p1pPp1/2PB2P1/3RK2P/P1P5/4RB2 b - - 0 40",19
"6k1/p6r/1pbn1p2/4pPp1/2Pp2P1/3R3P/P1P2K2/4RB2 b - - 1 41",7
"6k1/p7/6p1/2prbp2/5Br1/1P4PK/P1R2R2/8 b - - 1 30",65
"6k1/pBr3pp/4p1n1/2P1qp2/1P6/P2Q2P1/5P1P/2R3K1 w - - 2 35",403
"6k1/pQ3p1p/6p1/8/2Pq4/1P4P1/P2rrP1P/1R3RK1 w - - 1 29",167
"6k1/pR5p/2r3p1/2P5/2P5/6KP/6P1/8 w - - 3 39",100
"6k1/pR5p/6p1/2p5/1PP5/r6P/6PK/8 w - - 0 37",101
"6k1/pR5p/6p1/2p5/r1P5/P6P/1P4PK/8 w - - 1 36",135
"6k1/pR5p/r5p1/2P5/2P5/6KP/6P1/8 b - - 2 38",575
"6k1/pR5p/r5p1/2P5/2P5/7P/6PK/8 w - - 1 38",58
"6k1/pR5p/r5p1/2p5/2P5/7P/PP4PK/8 w - - 1 35",130
"6k1/pRq3b1/P2p2pp/3pprN1/2rn4/3QB3/R4P1P/6K1 b - - 1 29",259
"6k1/pb1nrp1p/1p2p1p1/4P3/5P2/1P1BP3/PBr3PP/3R2K1 w - - 0 20",220
"6k1/pb1r2pp/3P3n/1P3p2/q2BpP2/4P1QP/2p3P1/2R2RK1 w - - 1 36",470
"6k1/pb1r2pp/3P3n/1q3p2/3BpP2/4P1QP/2p2RP1/2R3K1 w - - 0 37",486
"6k1/pb1r2pp/q2P3n/5p2/3BpP2/4P1QP/2R3P1/2R3K1 w - - 1 38",501
"6k1/pb2qpp1/2p1p2p/2Pn4/1P6/P4NP1/1Q3PBP/6K1 w - - 1 25",199
"6k1/pb2r1pp/7n/1P1P1p2/Pq1BpP2/4P1QP/2p3P1/4RRK1 w - - 1 34",456
"6k1/pb2r1pp/7n/1P1P1p2/q2BpP2/4P1QP/2p3P1/2R2RK1 w - - 0 35",488
"6k1/pb2r1pp/8/1P1P1p2/Pq1BpPn1/4P1Q1/2p3PP/4RRK1 w - - 10 33",358
"6k1/pb2rp1p/1p2p1p1/2n1P3/5P2/1P2P3/PBB3PP/3R2K1 w - - 1 21",168
"6k1/pb2rp1p/np2p1p1/4P3/1P3P2/4P3/PBB3PP/3R2K1 w - - 1 22",228
"6k1/pb3pp1/2p1p2p/2Pn4/1P1N4/P5P1/5PBP/6K1 w - - 2 28",195
"6k1/pb3pp1/2p4p/2Pp4/1P1N4/P5P1/5P1P/6K1 w - - 0 29",217
"6k1/pbRr2pp/3q3n/4Bp2/4pP2/4P1QP/6P1/2R3K1 b - - 1 39",59
"6k1/pbRr2pp/3q3n/5p2/3BpP2/4P1QP/6P1/2R3K1 w - - 0 39",546
"6k1/pbn1rp1p/1p2p1p1/4P3/1P3P2/P3P3/1BB3PP/3R2K1 w - - 1 23",230
"6k1/pbn2pp1/2p1p2p/2P5/1P6/P4NP1/5PBP/6K1 w - - 0 27",223
"6k1/pbq1bpp1/2p1p2p/2Pn4/1P6/P4NP1/1B3PBP/3Q2K1 w - - 1 22",157
"6k1/pbq1bpp1/2p1pn1p/2P5/1P6/P4NP1/1BQ2PBP/3r2K1 w - - 0 21",139
"6k1/pbq2pp1/2p1p2p/2Pn4/1P6/P4NP1/1b1Q1PBP/6K1 w - - 0 24",106
"6k1/pbq2pp1/2p1p2p/2PnQ3/1P6/P4NP1/5PBP/6K1 w - - 3 26",184
"6k1/pbq2pp1/2p1pb1p/2Pn4/1P1Q4/P4NP1/1B3PBP/6K1 w - - 3 23",122
"6k1/pp1R1B1p/8/2r5/7p/P3b1P1/1P1nN2K/8 b - - 3 31",46
"6k1/pp1R3p/8/7B/2r4p/P3b1P1/1P1nN2K/8 b - - 1 30",21
"6k1/pp1q1pp1/4p2p/4N3/PbP5/7P/1PQ2PP1/6K1 b - - 1 29",37
"6k1/pp1qrpb1/2n2np1/3p3p/3P1N1P/PP1Q1BP1/1B3P2/3R2K1 w - - 0 27",21
"6k1/pp1r1p2/1q2pnpp/8/2Q1P3/1P3NPP/P4PK1/2R5 b - - 1 26",0
"6k1/pp1r1p2/1q2pnpp/8/4P3/1P3NPP/P1Q2PK1/2R5 w - - 0 26",19
"6k1/pp1r1pp1/1q2p2p/8/PbP5/5N1P/1PQ2PP1/3R2K1 b - - 1 27",28
"6k1/pp1r1pp1/1q2pn1p/8/4P3/1P3NPP/P1Q2PK1/4R3 w - - 1 25",0
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/2K1q3/8 w - - 11 41",0
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/2K1q3/8 w - - 7 39",6
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/2K2q2/8 w - - 3 37",35
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/2K5/4q3 b - - 10 40",0
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/2K5/4q3 b - - 6 38",0
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/4q3/2K5 b - - 12 41",6
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/4q3/2K5 b - - 8 39",0
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/8/2K1q3 w - - 5 38",0
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/8/2K1q3 w - - 9 40",0
"6k1/pp2Q2p/4b2P/4Pp2/PPpB4/4PP2/8/2K3q1 w - - 1 36",29
"6k1/pp2p2p/4b1qP/4Pp2/PPpB3Q/4PP2/8/2K5 w - - 1 35",114
"6k1/pp2q2p/4PRn1/2pQ4/2P5/8/P5PP/6K1 b - - 0 39",351
"6k1/pp2q2p/4Prn1/2pQ4/2P5/8/P5PP/5RK1 w - - 0 39",181
"6k1/pp3R1p/4r1p1/2p5/2P5/7P/PP4PK/8 w - - 0 34",123
"6k1/pp3R2/3q2np/3p2pB/2p5/2P3P1/PPP2QPP/4r1K1 w - - 1 28",303
"6k1/pp3pp1/3b3p/4q3/P1P1p3/1PQ4P/4NPP1/5K2 b - - 0 35",33
"6k1/pp3pp1/3b3p/4q3/P1P1p3/2Q4P/1P2NPP1/5K2 w - - 4 35",19
"6k1/pp3pp1/4p2p/8/PbPq4/3N3P/1PQ2PP1/6K1 b - - 3 30",57
"6k1/pp3r1p/2p3p1/2q1b3/6P1/2P4P/P1Q2PB1/2R3K1 b - - 2 24",66
"6k1/pp4bp/3B2p1/1P3p2/P1rp4/4nPP1/2pR3P/2N1N1K1 b - - 2 31",16
"6k1/pp4bp/3B2p1/1P3p2/r2p4/4nPP1/2pR3P/2N1N1K1 w - - 0 32",15
"6k1/pp4bp/6p1/1P1n1p2/3p1B2/3N1PP1/2pR3P/r1N3K1 w - - 4 34",230
"6k1/pp4bp/6p1/1P1n1p2/P1rp4/B4PP1/2pR2NP/2N1r1K1 w - - 0 30",130
"6k1/pp4bp/6p1/1P1n1p2/P1rpr3/B5P1/2pR1PNP/2N1R1K1 w - - 2 29",86
"6k1/pp4bp/6p1/1P3p2/3p1B2/2nN1PP1/2R3KP/1rN5 w - - 3 36",133
"6k1/pp4bp/6p1/1P3p2/3p1B2/2nN1PP1/2R4P/r1N3K1 w - - 1 35",181
"6k1/pp4bp/6p1/1P3p2/3p1B2/3NnPP1/2pR3P/r1N3K1 b - - 3 33",18
"6k1/pp4bp/6p1/1P3p2/3p1B2/4nPP1/2pR3P/r1N1N1K1 w - - 2 33",34
"6k1/pp4bp/6p1/1P3p2/P1rp4/B3nPP1/2pR3P/2N1N1K1 w - - 1 31",51
"6k1/pp4bp/6p1/1P3p2/r2p1B2/4nPP1/2pR3P/2N1N1K1 b - - 1 32",125
"6k1/pp4bp/6p1/1r3p2/3p1B2/2nN1PP1/2R1N1KP/8 w - - 0 37",68
"6k1/pp4p1/2P5/8/3P2n1/1B6/PP2pqP1/R1K4R b - - 1 39",190
"6k1/pp4p1/2P5/8/3P2n1/4p3/PPB2qP1/R1K4R b - - 3 38",399
"6k1/pp4p1/2P5/8/3P2n1/4p3/PPB2qP1/R2K3R w - - 2 38",627
"6k1/pp4p1/2P5/8/3P2n1/8/PPB1pqP1/R1K4R w - - 0 39",607
"6k1/pp4p1/3b3p/4qp2/P1P1p3/1PQ3PP/4NP2/5K2 b - - 0 36",58
"6k1/pp5p/8/3R2pB/2r4P/P3b1P1/1P1nN2K/8 b - - 0 29",5
"6k1/pp5p/8/3R2pB/2r4P/P3b3/1P1nN1PK/8 w - - 1 29",22
"6k1/pp6/3q2np/3p2pB/2p5/2P3P1/PPP2QPP/6K1 w - - 2 30",325
"6k1/ppp1qrpp/4p3/nP2P3/3rN1Q1/4R3/P4PPP/R5K1 w - - 13 23",362
"6k1/pq2bp1p/1N4p1/2p4n/8/5PP1/PP2Q1KP/2R5 b - - 0 24",295
"6k1/pq2bp1p/1N4p1/2p4n/8/5PP1/PP2Q1KP/R1Br4 b - - 0 23",166
"6k1/pq2bp1p/1N4p1/2p4n/8/6P1/PP2QPKP/R1Br4 w - - 2 23",26
"6k1/pq3p1p/5Qp1/8/2P5/1P2R1P1/5PKP/3r4 w - - 8 36",324
"6k1/q3Kp2/6p1/2P5/3Q1P2/8/8/8 w - - 33 67",103
"6k1/q4p2/5Kp1/2P5/3Q1P2/8/8/8 b - - 34 67",655
"6k1/q4ppp/p1B2n2/8/2P2Rb1/1PN1p1P1/P2r3P/R3Q1K1 b - - 2 24",52
"6k1/q4ppp/p1B2n2/8/2P3b1/1PN1p1P1/P2r3P/R3QRK1 w - - 1 24",162
"6k1/q5p1/2Q5/3P1b2/3Kp3/P3R3/8/8 w - - 8 54",194
"6k1/r2nbpp1/1R2p2p/3p4/p2P4/B3PN1P/5PP1/R5K1 b - - 0 26",187
"6k1/r2nbpp1/1R2p2p/3p4/pB1P4/P1r1PN1P/5PP1/R5K1 b - - 3 25",121
"6k1/r2q1p2/3p1b2/2pQ1p2/2P5/2P3P1/3BR1KP/8 w - - 2 40",18
"6k1/r2q1p2/3p1b2/2pQ1p2/2P5/2P3P1/3BRK1P/8 b - - 3 40",21
"6k1/r2q1p2/3p2p1/2p1b3/2P4Q/2P2PP1/3BR1KP/8 w - - 3 36",29
"6k1/r2q1p2/3p4/2p1bp2/2P5/2PQ2P1/3BRK1P/8 b - - 5 41",10
"6k1/r2q1p2/3p4/2pQbp2/2P5/2P3P1/3BRK1P/8 w - - 4 41",13
"6k1/r2q2b1/pR1p2pp/P1rNpb2/2P5/R3Q2P/4BPP1/6K1 w - - 1 34",216
"6k1/r3bpp1/1R1Bpn1p/3p4/p2P4/P1r1PN1P/5PP1/R5K1 b - - 1 24",126
"6k1/r3bpp1/1R2pn1p/3p4/p2P1B2/P1r1PN1P/5PP1/R5K1 w - - 0 24",402
"6k1/r3bpp1/1n2p2p/2Bp4/p2P4/4PN1P/5PP1/R5K1 b - - 1 27",214
"6k1/r4p2/3pq3/2p1bp2/2P5/2P3P1/2QBRK1P/8 b - - 7 42",82
"6k1/r4pp1/1n2p2p/2Pp4/p7/4PN1P/5PP1/R5K1 b - - 0 28",175
"6k1/r4pp1/4p2p/2Pp4/p1nN4/4P2P/5PP1/R5K1 b - - 2 29",236
"6k1/rBpq2pp/n2p4/p4r2/2P2PQP/P1N3P1/1P6/1K1R4 w - - 1 27",280
"6k1/rpn2pb1/2pNq3/p1Pp2Pp/P2P4/1PBQ3P/8/5RK1 w - - 4 38",260
"6kR/5p2/8/8/8/8/8/B5K1 b - - 0 1",-100000
"6kR/8/5Q2/8/8/8/6K1/8 b - - 0 1",-100000
"6n1/1p2qpk1/p2p2r1/2r2Rpp/2P1P3/1B4R1/PP1Q2PP/6K1 b - - 5 25",63
"6n1/1p2qpk1/p2p2r1/2r3pp/2P1P3/1B4R1/PP1Q2PP/5RK1 w - - 4 25",30
"6n1/5k2/3B1p2/7P/4PK2/8/8/8 w - - 23 57",68
"6n1/5k2/5p2/2B4P/4PK2/8/8/8 w - - 19 55",43
"6n1/5k2/5p2/7P/1B2PK2/8/8/8 w - - 15 53",57
"6n1/5k2/5p2/7P/4PBK1/8/8/8 w - - 3 47",50
